Lum,BP-RP,Teff
0.405,1.1208,5017.79
0.222,1.7345,4061.29
0.574,1.2357,5054.67
0.506,1.269,4896.4
0.199,1.4488,4520.88
1.129,1.1527,4863.81
0.987,1.0919,5001.95
0.35,1.3645,4632.0
3.152,1.0423,5096.33
0.194,1.58,4380.0
0.141,1.2886,4862.46
0.239,1.335,4979.0
0.574,1.1673,4913.0
0.45,1.1859,4894.33
0.252,1.4871,4448.02
0.768,1.055,5395.4
0.396,1.2224,4994.0
0.512,1.2587,4854.54
0.388,1.3139,4994.0
1.752,1.2219,4996.5
0.065,1.8787,4044.5
1.047,1.0548,5501.93
0.074,1.9319,3833.0
0.4,1.0923,5011.53
0.373,1.2237,4871.97
0.228,1.5847,4283.35
0.208,1.6008,4391.0
0.273,1.3667,5005.33
0.159,1.8687,4160.42
0.323,1.3315,4769.28
0.103,1.7538,4149.24
0.164,1.6126,4417.36
0.11,1.6601,4252.75
1.831,1.0175,5221.48
0.108,1.681,4226.0
1.164,0.9554,5359.4
0.267,1.2035,4844.48
0.094,1.8515,3901.0
1.329,0.8053,5878.17
0.061,1.9499,3798.0
2.932,0.9262,5355.0
4.282,1.3354,4911.5
0.118,1.6664,4227.0
0.162,1.5198,4365.43
5.867,1.466,4468.71
0.828,1.0063,5306.0
0.459,1.0049,5256.5
0.555,1.1811,4858.33
0.165,1.5967,4285.27
0.089,1.7586,4081.33
2.296,1.306,5035.67
0.108,1.8328,3964.0
0.562,0.8823,5487.4
1.728,1.0323,5172.74
0.512,1.1412,4906.12
1.06,0.975,5324.0
4.872,1.3733,4855.25
0.233,1.3556,4785.0
0.304,1.1731,4881.44
0.196,1.5097,4408.25
0.033,2.4395,3369.5
0.057,2.4345,3460.0
1.492,1.0312,5168.54
0.062,2.225,3535.75
47.835,1.4576,4534.68
0.183,1.4547,4471.67
2.601,0.9572,5332.0
0.94,1.0254,5266.0
0.074,2.1809,3871.94
0.886,1.0781,5200.0
0.66,1.0952,4988.31
0.05,2.1254,3721.25
0.566,1.1328,4911.05
1.158,1.2067,4961.71
2.239,0.9115,5426.5
5.582,0.7735,5824.05
0.072,2.1,3634.35
0.244,1.2931,4834.21
0.136,1.4198,4654.66
0.179,1.381,5006.0
0.144,1.5007,4364.0
3.266,0.8841,5456.07
0.155,1.5436,4493.0
0.576,1.1889,4882.1
0.182,1.5566,4460.33
2.384,0.9744,5347.0
0.88,1.0527,5298.58
2.447,1.1378,4956.0
0.2,1.4886,4433.0
0.408,1.1885,4903.1
0.915,1.1383,4898.5
4.217,1.0572,5117.91
0.531,1.1977,4895.21
2.516,0.8757,5744.0
0.982,1.1207,4997.0
0.415,1.3405,4852.51
0.672,1.2326,4899.56
0.975,0.8636,5682.25
1.693,1.0941,4889.38
0.264,1.3309,4903.85
0.078,1.9732,3719.0
0.956,1.1695,4877.04
0.27,1.2809,4925.47
0.865,1.0298,5117.17
0.5,1.2075,4893.5
0.129,1.7463,4116.33
0.165,1.5776,4240.0
0.723,1.0556,5450.16
0.325,1.5338,4456.5
5.762,1.2811,4935.42
0.164,1.5121,4395.34
0.655,1.0198,5183.3
0.204,1.3519,4855.25
11.941,1.2298,4823.78
1.391,0.9739,5316.8
0.24,1.3261,4812.25
4.507,1.3975,4893.0
4.385,0.7765,5910.25
0.074,1.8818,3823.5
0.707,1.0637,5135.53
0.135,1.5166,4443.0
1.075,1.0477,5927.27
0.906,1.0859,5054.77
2.601,1.1413,4927.05
0.645,1.1768,4937.0
0.101,1.8733,3933.5
0.166,1.265,5010.12
0.076,1.7831,4237.8
0.32,1.2544,4860.67
0.214,1.2531,4889.28
1.579,0.9516,5223.5
0.594,1.1125,4982.0
0.223,1.4101,4488.62
0.151,1.6039,4284.31
1.644,0.8349,5780.25
0.602,1.0778,5090.75
0.113,1.7597,4063.46
0.519,1.1108,5002.21
0.385,1.1383,4963.0
0.121,1.6736,4311.09
0.069,1.803,3942.0
0.636,1.0991,4969.04
1.422,1.0531,5093.66
0.623,1.03,5235.5
0.342,1.1612,4921.25
0.044,2.1144,3671.0
2.984,0.9657,5342.0
1.064,1.2321,4856.5
0.132,1.6764,4256.0
3.155,0.7006,6304.0
0.765,1.1102,4993.0
0.578,1.1284,5306.37
0.111,1.7251,4145.33
4.446,1.2003,5028.56
0.055,2.1318,3775.93
7.539,1.0118,5311.0
17.949,1.3001,5124.0
0.214,1.6573,4242.75
0.155,1.7738,3953.0
1.259,1.1922,4919.0
0.175,1.5545,4431.69
0.245,1.2615,5097.77
0.51,1.3588,4779.0
3.469,1.1014,4977.23
0.237,1.4595,4416.21
0.834,1.1292,4911.05
1.672,1.0506,5154.57
2.457,1.4159,4666.45
0.525,1.165,4928.0
0.237,1.5047,4456.0
0.16,1.4962,4439.0
0.341,1.2425,4899.46
